payment_id,method,price,count,at,pg,tx_id,appl_num,status,order_id
bd7709e4-64c5-46bf-b89f-db251dee7894,EASYPAY,166590,3,2024-09-06 18:48:03,KGinicis,TX-5094f2144b75,207794,PAID,2bf1a021-aa0b-44e1-bc8f-d30606806742
1789bc3a-34db-49bf-8a31-fc7ccd74b8e5,KAKAOPAY,99000,1,2024-12-03 13:35:50,KGinicis,TX-4297da7ead1c,740353,PAID,bdae4856-b352-4bad-99ac-c0777217b0ed
116e27f0-5533-4aa2-9b75-35c8d2c5bca3,TOSSPAY,121480,3,2024-12-01 11:21:47,KGinicis,TX-c52ddbf1214b,366197,PAID,2d95be0c-3ece-4097-b57a-7a702c7589f3
7cac78e5-6def-4b95-9e43-daf4b607b92b,PAYCO,83250,1,2025-01-06 09:55:37,KGinicis,TX-ab8e0110e151,802991,PAID,4b834b33-6df1-4eac-843b-ce45c167b556
14e44d92-ab17-4b5a-b4c8-c828cfc7e724,EASYPAY,54000,2,2025-05-16 13:52:05,KGinicis,TX-b782120f4712,359606,PAID,4f900ede-19ca-4dc9-b74c-804e21c80e0a
89a87b4a-3b2e-4794-98fe-7c06daec88af,LPAY,14220,1,2025-01-11 22:44:23,KGinicis,TX-b421345b8b03,411992,PAID,12550c0b-a24d-4908-aa31-d1c7b03109cd
4cae7bad-2d54-4eba-8863-dd3571066f24,TMONEY,176400,3,2024-06-15 05:43:26,KGinicis,TX-7a90f71a51e5,836293,PAID,624bc8d5-88b2-45fe-812d-c13f1ec64da4
1c527f01-4e85-428e-8cc4-9901627aeef7,TMONEY,149040,3,2024-10-02 17:15:40,KGinicis,TX-19ebf416319a,452392,PAID,e04d68f1-7d54-45c3-82bd-93aed4e90e28
15714b50-4e25-465e-bb13-998583511655,TMONEY,172980,2,2024-08-19 09:21:15,KGinicis,TX-760642934de7,505988,PAID,11167fa5-ff44-47dd-8a2b-6f79d2beff08
40f27043-6f1b-411b-a336-c7dc87fb8924,LPAY,69120,2,2024-10-15 06:18:09,KGinicis,TX-f913326f56a0,991484,PAID,3a541b92-583e-4ef4-a421-6ea67ed49480
dfd4e2fb-6e24-437e-94ec-14124dd859fe,EASYPAY,197010,3,2024-12-02 01:16:49,KGinicis,TX-bf932bc2b90f,233136,FAILED,7035fcb1-88ac-4720-91da-6dc9aea2f6d3
d1b11f21-f78e-4bd5-8d10-95da675f3e43,PAYCO,153000,2,2025-01-24 04:29:00,KGinicis,TX-ae867b00ad4b,676641,CANCELLED,abecc39b-892c-439e-a6f3-c71c0fffca38
38f99c74-c097-44d4-ada9-48e3d1307268,SAMSUNGPAY,193500,3,2024-09-01 00:27:16,KGinicis,TX-581e989bd424,357602,PAID,c1fc23c1-349e-46df-8ef9-91f106c2a1cf
81f0eacc-b1ac-4976-8514-3e3b3a567ec4,TMONEY,81000,1,2024-11-26 13:59:15,KGinicis,TX-0f26bbdffba1,117973,PAID,425e8675-8ff9-4b5e-8320-4d2b1e303adc
e92532bc-45a2-4d57-b488-abb7f4357f11,KAKAOPAY,13500,1,2025-04-09 13:45:08,KGinicis,TX-e42f5170f32d,314358,PAID,bd0ff34f-2f09-46b4-adaa-cef7599b9ba9
f20cd502-5cc1-428c-9594-1099be08115a,TOSSPAY,24840,1,2024-11-26 19:43:13,KGinicis,TX-b5efaf132b2b,227748,FAILED,47f6b21f-d213-416b-8a7b-ac69787eb1ef
0b15d15e-a348-468d-97e1-b1f5982e2ec3,TMONEY,110700,2,2024-08-26 23:44:37,KGinicis,TX-7f7a8e1a734c,505292,CANCELLED,9fe216f3-b49d-4783-8772-d3aa9704d51f
0c0ea5c0-9eb0-4760-b607-1ad8d86bd1bc,TOSSPAY,53460,1,2025-04-21 14:05:54,KGinicis,TX-878214c6b469,630820,PAID,2a1536aa-1bad-45be-bc94-a66bf5787822
e5fb84dd-1761-47de-95c3-b121f44bea11,PAYCO,60840,3,2024-06-28 05:22:59,KGinicis,TX-0145ba181ea8,838120,CANCELLED,1dd9bc74-aee9-471f-8e06-d390ac999983
53fc0a48-5864-4c37-9d48-d78a58ea552d,TMONEY,39600,1,2024-05-28 21:36:05,KGinicis,TX-9bb50432083c,719477,PAID,6d0ab98a-ac26-4365-b559-23dfc7d115dc
3273e613-5d47-4f2a-9497-3c73cc26b28a,SAMSUNGPAY,119610,2,2024-11-06 21:28:48,KGinicis,TX-cba0a04e96c3,755997,PAID,50a3e8bb-1b77-4d39-ac3d-961e5a4c9539
d66960f6-42f0-4ac2-a44a-71d7624b969f,CARD,117360,2,2024-10-08 14:44:29,KGinicis,TX-76a603b09ebc,229798,PAID,5ab1745f-86dc-4531-85b0-98ac861eda10
4abab6f5-f228-4262-b5d6-44584da5100a,KAKAOPAY,162000,3,2024-06-16 15:07:42,KGinicis,TX-0884e2334001,971717,PAID,89ddc959-0443-4a16-af56-37210cd89161
a191a90d-2b6f-478d-9f1b-409dc97dd6a3,KAKAOPAY,165060,3,2025-02-21 00:04:47,KGinicis,TX-626da029f623,774683,PAID,e050b226-3161-4601-a4d2-cac01168f91e
ff864abc-411e-45fa-b6bb-065a7b04bb06,TOSSPAY,62100,2,2025-03-07 05:08:20,KGinicis,TX-f8e395470cdf,409552,PAID,8e062164-6b94-44d0-8d8f-612dfe7ace0b
18aff24b-33f7-4c58-a139-618e4345e55c,CARD,97650,2,2024-08-17 13:49:11,KGinicis,TX-dda130c8dc82,567747,PAID,14158cbd-5fd6-46b8-ac2d-0e0c8b595ef2
572f7e8d-3bae-4076-a61b-596d1ad74998,EASYPAY,232200,3,2024-08-13 09:40:05,KGinicis,TX-a93a03de7223,557060,PAID,dd9a8644-fa54-43ab-a4e2-2dd1cedbec2b
9ddaa972-0e35-44c4-8f11-31976bb84224,EASYPAY,28800,1,2025-01-08 19:19:19,KGinicis,TX-ffb0dd63cd41,955531,PAID,9227bc61-49d9-4d6d-a1f4-6f3592788ac7
